Crop,Acres,Fips,County name,State Abb,State Name,FRIS Demand,Avg water use
Alfalfa,8407.4,35029,Luna County,NM,NEW MEXICO,5.8,48762.92
Cotton,4640.7,35029,Luna County,NM,NEW MEXICO,4.6,21347.22
Triticale,3712.2,35029,Luna County,NM,NEW MEXICO,1.16,4306.152
Pecans,1419.1,35029,Luna County,NM,NEW MEXICO,4.3,6102.13
Corn,1097.7,35029,Luna County,NM,NEW MEXICO,4.7,5159.19
Dry Beans,899.6,35029,Luna County,NM,NEW MEXICO,2.3,2069.08
Winter Wheat,887.8,35029,Luna County,NM,NEW MEXICO,3.6,3196.08
Winter Wheat,9.6,35031,McKinley County,NM,NEW MEXICO,3.6,34.56
Other Hay_Non Alfalfa,5827.2,35033,Mora County,NM,NEW MEXICO,5.8,33797.76
Alfalfa,3663.5,35033,Mora County,NM,NEW MEXICO,5.8,21248.3
Alfalfa,733.5,35035,Otero County,NM,NEW MEXICO,5.8,4254.3
Pecans,301.1,35035,Otero County,NM,NEW MEXICO,4.3,1294.73
Winter Wheat,119686.8,35037,Quay County,NM,NEW MEXICO,3.6,430872.48
Sorghum,20278.6,35037,Quay County,NM,NEW MEXICO,4.4,89225.84
Other Hay_Non Alfalfa,18126.7,35039,Rio Arriba County,NM,NEW MEXICO,5.8,105134.86
Alfalfa,12520.6,35039,Rio Arriba County,NM,NEW MEXICO,5.8,72619.48
Winter Wheat,112854.4,35041,Roosevelt County,NM,NEW MEXICO,3.6,406275.84
Other Hay_Non Alfalfa,58903.2,35041,Roosevelt County,NM,NEW MEXICO,5.8,341638.56
Sorghum,50935,35041,Roosevelt County,NM,NEW MEXICO,4.4,224114
Corn,24921.5,35041,Roosevelt County,NM,NEW MEXICO,4.7,117131.05
Alfalfa,4753.7,35043,Sandoval County,NM,NEW MEXICO,5.8,27571.46
Alfalfa,29025.2,35045,San Juan County,NM,NEW MEXICO,5.8,168346.16
Corn,13086.4,35045,San Juan County,NM,NEW MEXICO,4.7,61506.08
Dry Beans,10933.8,35045,San Juan County,NM,NEW MEXICO,2.3,25147.74
Winter Wheat,8199.5,35045,San Juan County,NM,NEW MEXICO,3.6,29518.2
Alfalfa,1940.6,35047,San Miguel County,NM,NEW MEXICO,5.8,11255.48
Other Hay_Non Alfalfa,787.3,35047,San Miguel County,NM,NEW MEXICO,5.8,4566.34
Winter Wheat,560.2,35047,San Miguel County,NM,NEW MEXICO,3.6,2016.72
Corn,4560,35049,Santa Fe County,NM,NEW MEXICO,4.7,21432
Alfalfa,4074.9,35049,Santa Fe County,NM,NEW MEXICO,5.8,23634.42
Sorghum,819.7,35049,Santa Fe County,NM,NEW MEXICO,4.4,3606.68
Alfalfa,2173.9,35051,Sierra County,NM,NEW MEXICO,5.8,12608.62
Corn,1018.8,35051,Sierra County,NM,NEW MEXICO,4.7,4788.36
Pecans,512.2,35051,Sierra County,NM,NEW MEXICO,4.3,2202.46
Winter Wheat,258.4,35051,Sierra County,NM,NEW MEXICO,3.6,930.24
Alfalfa,5572.3,35053,Socorro County,NM,NEW MEXICO,5.8,32319.34
Alfalfa,10588.4,35055,Taos County,NM,NEW MEXICO,5.8,61412.72
Other Hay_Non Alfalfa,9597.9,35055,Taos County,NM,NEW MEXICO,5.8,55667.82
Alfalfa,12998.3,35057,Torrance County,NM,NEW MEXICO,5.8,75390.14
Corn,6215.3,35057,Torrance County,NM,NEW MEXICO,4.7,29211.91
Dry Beans,741,35057,Torrance County,NM,NEW MEXICO,2.3,1704.3
Winter Wheat,30859.7,35059,Union County,NM,NEW MEXICO,3.6,111094.92
Corn,16525.9,35059,Union County,NM,NEW MEXICO,4.7,77671.73
Sorghum,5504.9,35059,Union County,NM,NEW MEXICO,4.4,24221.56
Alfalfa,5613.5,35061,Valencia County,NM,NEW MEXICO,5.8,32558.3
Alfalfa,26849.3,49001,Beaver County,UT,UTAH,5.8,155725.94
Corn,2934.7,49001,Beaver County,UT,UTAH,4.7,13793.09
Alfalfa,84752.8,49003,Box Elder County,UT,UTAH,5.8,491566.24
Winter Wheat,67697.2,49003,Box Elder County,UT,UTAH,3.6,243709.92
Other Hay_Non Alfalfa,23294.1,49003,Box Elder County,UT,UTAH,5.8,135105.78
Corn,17274.5,49003,Box Elder County,UT,UTAH,4.7,81190.15
Alfalfa,77902.8,49005,Cache County,UT,UTAH,5.8,451836.24
Winter Wheat,23794,49005,Cache County,UT,UTAH,3.6,85658.4
Other Hay_Non Alfalfa,18197.9,49005,Cache County,UT,UTAH,5.8,105547.82
Corn,9065.7,49005,Cache County,UT,UTAH,4.7,42608.79
Barley,8431.9,49005,Cache County,UT,UTAH,4.8,40473.12
Alfalfa,9393.7,49007,Carbon County,UT,UTAH,5.8,54483.46
Other Hay_Non Alfalfa,3291.7,49009,Daggett County,UT,UTAH,5.8,19091.86
Alfalfa,557.5,49009,Daggett County,UT,UTAH,5.8,3233.5
Alfalfa,6819.3,49011,Davis County,UT,UTAH,5.8,39551.94
Winter Wheat,1735.8,49011,Davis County,UT,UTAH,3.6,6248.88
Corn,1326.8,49011,Davis County,UT,UTAH,4.7,6235.96
Other Hay_Non Alfalfa,1259,49011,Davis County,UT,UTAH,5.8,7302.2
Other Hay_Non Alfalfa,38625.1,49013,Duchesne County,UT,UTAH,5.8,224025.58
Alfalfa,27083,49013,Duchesne County,UT,UTAH,5.8,157081.4
Corn,6567.8,49013,Duchesne County,UT,UTAH,4.7,30868.66
Alfalfa,43414.3,49015,Emery County,UT,UTAH,5.8,251802.94
Alfalfa,15142.9,49017,Garfield County,UT,UTAH,5.8,87828.82
Alfalfa,8502.1,49019,Grand County,UT,UTAH,5.8,49312.18
Alfalfa,43709.2,49021,Iron County,UT,UTAH,5.8,253513.36
Corn,5272.1,49021,Iron County,UT,UTAH,4.7,24778.87
Alfalfa,20793.7,49023,Juab County,UT,UTAH,5.8,120603.46
Winter Wheat,3359.9,49023,Juab County,UT,UTAH,3.6,12095.64
Corn,1947.5,49023,Juab County,UT,UTAH,4.7,9153.25
Other Hay_Non Alfalfa,1673.7,49023,Juab County,UT,UTAH,5.8,9707.46
Alfalfa,2957.8,49025,Kane County,UT,UTAH,5.8,17155.24
Alfalfa,79716.5,49027,Millard County,UT,UTAH,5.8,462355.7
Corn,11001.4,49027,Millard County,UT,UTAH,4.7,51706.58
Other Hay_Non Alfalfa,9759.3,49027,Millard County,UT,UTAH,5.8,56603.94
Barley,3715.1,49027,Millard County,UT,UTAH,4.8,17832.48
Alfalfa,10411.2,49029,Morgan County,UT,UTAH,5.8,60384.96
Barley,1265.9,49029,Morgan County,UT,UTAH,4.8,6076.32
Alfalfa,11548.5,49031,Piute County,UT,UTAH,5.8,66981.3
Other Hay_Non Alfalfa,1132.4,49031,Piute County,UT,UTAH,5.8,6567.92
Alfalfa,9819.2,49033,Rich County,UT,UTAH,5.8,56951.36
Other Hay_Non Alfalfa,8997.2,49033,Rich County,UT,UTAH,5.8,52183.76
Winter Wheat,15073.5,49035,Salt Lake County,UT,UTAH,3.6,54264.6
Alfalfa,2866.7,49035,Salt Lake County,UT,UTAH,5.8,16626.86
Winter Wheat,39631.4,49037,San Juan County,UT,UTAH,3.6,142673.04
Alfalfa,5364.6,49037,San Juan County,UT,UTAH,5.8,31114.68
Alfalfa,52981.7,49039,Sanpete County,UT,UTAH,5.8,307293.86
Other Hay_Non Alfalfa,34581.5,49039,Sanpete County,UT,UTAH,5.8,200572.7
Corn,3294.3,49039,Sanpete County,UT,UTAH,4.7,15483.21
Alfalfa,33325.8,49041,Sevier County,UT,UTAH,5.8,193289.64
Corn,6753.5,49041,Sevier County,UT,UTAH,4.7,31741.45
Alfalfa,6945.8,49043,Summit County,UT,UTAH,5.8,40285.64
Other Hay_Non Alfalfa,1045.5,49043,Summit County,UT,UTAH,5.8,6063.9
Alfalfa,11363.9,49045,Tooele County,UT,UTAH,5.8,65910.62
Winter Wheat,1617.7,49045,Tooele County,UT,UTAH,3.6,5823.72
Other Hay_Non Alfalfa,1130,49045,Tooele County,UT,UTAH,5.8,6554
Alfalfa,31014.9,49047,Uintah County,UT,UTAH,5.8,179886.42
Other Hay_Non Alfalfa,13317.7,49047,Uintah County,UT,UTAH,5.8,77242.66
Corn,3706.9,49047,Uintah County,UT,UTAH,4.7,17422.43
Alfalfa,42014.1,49049,Utah County,UT,UTAH,5.8,243681.78
Winter Wheat,29341.4,49049,Utah County,UT,UTAH,3.6,105629.04
Corn,7839.6,49049,Utah County,UT,UTAH,4.7,36846.12
Other Hay_Non Alfalfa,3953.3,49049,Utah County,UT,UTAH,5.8,22929.14
Alfalfa,6127.9,49051,Wasatch County,UT,UTAH,5.8,35541.82
Alfalfa,7913.7,49053,Washington County,UT,UTAH,5.8,45899.46
Corn,686.5,49053,Washington County,UT,UTAH,4.7,3226.55
Alfalfa,13382.6,49055,Wayne County,UT,UTAH,5.8,77619.08
Alfalfa,18482.1,49057,Weber County,UT,UTAH,5.8,107196.18
Other Hay_Non Alfalfa,5616.8,49057,Weber County,UT,UTAH,5.8,32577.44
Corn,3773.6,49057,Weber County,UT,UTAH,4.7,17735.92
Winter Wheat,1814.5,49057,Weber County,UT,UTAH,3.6,6532.2
