"","fips","Total_water_use","heads","lb","COMMODITY_DESC","CLASS_DESC","UNIT_DESC","SHORT_DESC","STATE_FIPS_CODE","STATE_ALPHA","STATE_NAME","COUNTY_CODE","COUNTY_NAME"
"53","08083",27198.5478981283,18662,13296010.14,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","08","CO","COLORADO","083","MONTEZUMA"
"54","08085",64016.5185639767,39346,31294475.1,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","08","CO","COLORADO","085","MONTROSE"
"55","08087",671684.033445842,413670,328352739.75,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","08","CO","COLORADO","087","MORGAN"
"56","08089",213741.553053084,130804,104487558.21,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","08","CO","COLORADO","089","OTERO"
"57","08091",5507.39337220006,3313,2692289.25,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","08","CO","COLORADO","091","OURAY"
"58","08093",7225.31837987113,4985,3532096.89,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","08","CO","COLORADO","093","PARK"
"59","08095",123991.786560295,75960,60613384.86,"CATTLE","ALL CLASSES","HEAD","CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD","08","CO","COLORADO","095","PHILLIPS"
"60","08097",2452.65823872353,1766,1198981.98,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","08","CO","COLORADO","097","PITKIN"
"61","08099",281621.617980976,160819,137670727.95,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","08","CO","COLORADO","099","PROWERS"
"62","08101",50181.8848112918,32241,24531414.39,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","08","CO","COLORADO","101","PUEBLO"
"63","08103",24523.2020251611,16155,11988167.31,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","08","CO","COLORADO","103","RIO BLANCO"
"64","08105",12701.0255293035,7527,6208896.33,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","08","CO","COLORADO","105","RIO GRANDE"
"65","08107",40503.7638539429,25861,19800264.96,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","08","CO","COLORADO","107","ROUTT"
"66","08109",25094.7306535747,17036,12267559.08,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","08","CO","COLORADO","109","SAGUACHE"
"67","08113",9831.67161706045,5919,4806212.67,"CATTLE","ALL CLASSES","HEAD","CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD","08","CO","COLORADO","113","SAN MIGUEL"
"68","08115",26756.0465173366,15837,13079693.34,"CATTLE","ALL CLASSES","HEAD","CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD","08","CO","COLORADO","115","SEDGWICK"
"69","08117",1228.06762810678,1218,600340.86,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","08","CO","COLORADO","117","SUMMIT"
"70","08119",1607.71334765265,1172,785930.67,"CATTLE","ALL CLASSES","HEAD","CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD","08","CO","COLORADO","119","TELLER"
"71","08121",161175.679165388,98404,78790730.76,"CATTLE","ALL CLASSES","HEAD","CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD","08","CO","COLORADO","121","WASHINGTON"
"72","08123",2801866.01828782,1739788,1369692203.04,"CATTLE","ALL CLASSES","HEAD","CATTLE, PRODUCTION CONTRACT, ON FEED - PRODUCTION, MEASURED IN HEAD","08","CO","COLORADO","123","WELD"
"73","08125",1230532.93402884,743462,601546024.8,"CATTLE","ALL CLASSES","HEAD","CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD","08","CO","COLORADO","125","YUMA"
"74","32001",30025.7149432341,22351,14678070.75,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","32","NV","NEVADA","001","CHURCHILL"
"75","32003",702.807302853636,723,343567.35,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","32","NV","NEVADA","003","CLARK"
"76","32005",21743.3110770175,13170,10629217.62,"CATTLE","ALL CLASSES","HEAD","CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD","32","NV","NEVADA","005","DOUGLAS"
"77","32007",84618.7389996932,70566,41365870.56,"CATTLE","ALL CLASSES","HEAD","CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD","32","NV","NEVADA","007","ELKO"
"78","32011",13277.0853636085,12418,6490503.18,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","32","NV","NEVADA","011","EUREKA"
"79","32013",51606.5224915618,37898,25227848.52,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","32","NV","NEVADA","013","HUMBOLDT"
"80","32015",15853.7602332004,10748,7750110.69,"CATTLE","ALL CLASSES","HEAD","CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD","32","NV","NEVADA","015","LANDER"
"81","32017",13734.5361153728,10838,6714127.98,"CATTLE","ALL CLASSES","HEAD","CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD","32","NV","NEVADA","017","LINCOLN"
"82","32019",68288.3966861,45576,33382782.72,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","32","NV","NEVADA","019","LYON"
"83","32021",616.669285056766,574,301458.78,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","32","NV","NEVADA","021","MINERAL"
"84","32023",18431.683890764,17475,9010328.67,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","32","NV","NEVADA","023","NYE"
"85","32027",19071.6793494937,15167,9323190.45,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","32","NV","NEVADA","027","PERSHING"
"86","32031",13914.652838294,9700,6802178.04,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","32","NV","NEVADA","031","WASHOE"
"87","32033",24094.6061368518,16047,11778648.21,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","32","NV","NEVADA","033","WHITE PINE"
"88","35001",1531.13003988954,1288,748492.92,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","35","NM","NEW MEXICO","001","BERNALILLO"
"89","35003",16366.5777845965,13323,8000801.55,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","35","NM","NEW MEXICO","003","CATRON"
"90","35005",102742.902730899,108922,50225868,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","35","NM","NEW MEXICO","005","CHAVES"
"91","35006",8609.48965940472,7134,4208749.02,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","35","NM","NEW MEXICO","006","CIBOLA"
"92","35007",46381.427370359,30037,22673560.77,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","35","NM","NEW MEXICO","007","COLFAX"
"93","35009",254108.197667996,188213,124220792.43,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","35","NM","NEW MEXICO","009","CURRY"
"94","35011",39578.8385394293,23910,19348115.22,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","35","NM","NEW MEXICO","011","DE BACA"
"95","35013",27023.4366370052,26758,13210407,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","35","NM","NEW MEXICO","013","DONA ANA"
"96","35015",27456.8472537588,21814,13422279.78,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","35","NM","NEW MEXICO","015","EDDY"
"97","35017",24148.1712795336,17623,11804833.53,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","35","NM","NEW MEXICO","017","GRANT"
"98","35019",22370.4861613992,15028,10935812.16,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","35","NM","NEW MEXICO","019","GUADALUPE"
