"","SECTOR_DESC","SHORT_DESC","COMMODITY_DESC","AGG_LEVEL_DESC","STATE_FIPS_CODE","STATE_ALPHA","STATE_NAME","COUNTY_CODE","COUNTY_NAME","To_acres","fips","crop","Ir_acres","Pct_irr"
"49","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",8,"CO","COLORADO","099","PROWERS",29416,"08099","CORN, GRAIN",19388,65.91
"50","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",8,"CO","COLORADO","101","PUEBLO",3601,"08101","CORN, GRAIN",3447,95.72
"51","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",6,"CA","CALIFORNIA","113","YOLO",13564,"06113","CORN, GRAIN",13564,100
"52","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",8,"CO","COLORADO","115","SEDGWICK",58960,"08115","CORN, GRAIN",30721,52.1
"53","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",8,"CO","COLORADO","121","WASHINGTON",121491,"08121","CORN, GRAIN",20073,16.52
"54","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",8,"CO","COLORADO","123","WELD",105661,"08123","CORN, GRAIN",89123,84.35
"55","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",8,"CO","COLORADO","125","YUMA",223822,"08125","CORN, GRAIN",163861,73.21
"56","CROPS","CORN, SILAGE - ACRES HARVESTED","CORN","COUNTY",8,"CO","COLORADO","001","ADAMS",1540,"08001","CORN, SILAGE",1042,67.66
"57","CROPS","CORN, SILAGE - ACRES HARVESTED","CORN","COUNTY",32,"NV","NEVADA","001","CHURCHILL",4785,"32001","CORN, SILAGE",4785,100
"58","CROPS","CORN, SILAGE - ACRES HARVESTED","CORN","COUNTY",32,"NV","NEVADA","003","CLARK",33,"32003","CORN, SILAGE",33,100
"59","CROPS","CORN, SILAGE - ACRES HARVESTED","CORN","COUNTY",32,"NV","NEVADA","005","DOUGLAS",6,"32005","CORN, SILAGE",6,100
"60","CROPS","CORN, SILAGE - ACRES HARVESTED","CORN","COUNTY",35,"NM","NEW MEXICO","005","CHAVES",13802,"35005","CORN, SILAGE",13421,97.24
"61","CROPS","CORN, SILAGE - ACRES HARVESTED","CORN","COUNTY",49,"UT","UTAH","005","CACHE",9126,"49005","CORN, SILAGE",9126,100
"62","CROPS","CORN, SILAGE - ACRES HARVESTED","CORN","COUNTY",8,"CO","COLORADO","009","BACA",1441,"08009","CORN, SILAGE",746,51.77
"63","CROPS","CORN, SILAGE - ACRES HARVESTED","CORN","COUNTY",8,"CO","COLORADO","011","BENT",298,"08011","CORN, SILAGE",298,100
"64","CROPS","CORN, SILAGE - ACRES HARVESTED","CORN","COUNTY",35,"NM","NEW MEXICO","009","CURRY",17059,"35009","CORN, SILAGE",12216,71.61
"65","CROPS","CORN, SILAGE - ACRES HARVESTED","CORN","COUNTY",4,"AZ","ARIZONA","012","LAPAZ",2552,"04012","CORN, SILAGE",2552,100
"66","CROPS","CORN, SILAGE - ACRES HARVESTED","CORN","COUNTY",8,"CO","COLORADO","013","BOULDER",1246,"08013","CORN, SILAGE",1240,99.52
"67","CROPS","CORN, SILAGE - ACRES HARVESTED","CORN","COUNTY",32,"NV","NEVADA","013","HUMBOLDT",188,"32013","CORN, SILAGE",188,100
"68","CROPS","CORN, SILAGE - ACRES HARVESTED","CORN","COUNTY",4,"AZ","ARIZONA","013","MARICOPA",10926,"04013","CORN, SILAGE",10926,100
"69","CROPS","CORN, SILAGE - ACRES HARVESTED","CORN","COUNTY",35,"NM","NEW MEXICO","013","DONA ANA",3684,"35013","CORN, SILAGE",3497,94.92
"70","CROPS","CORN, SILAGE - ACRES HARVESTED","CORN","COUNTY",49,"UT","UTAH","015","EMERY",175,"49015","CORN, SILAGE",175,100
"71","CROPS","CORN, SILAGE - ACRES HARVESTED","CORN","COUNTY",35,"NM","NEW MEXICO","015","EDDY",5071,"35015","CORN, SILAGE",2671,52.67
"72","CROPS","CORN, SILAGE - ACRES HARVESTED","CORN","COUNTY",49,"UT","UTAH","017","GARFIELD",61,"49017","CORN, SILAGE",61,100
"73","CROPS","CORN, SILAGE - ACRES HARVESTED","CORN","COUNTY",4,"AZ","ARIZONA","017","NAVAJO",283,"04017","CORN, SILAGE",283,100
"74","CROPS","CORN, SILAGE - ACRES HARVESTED","CORN","COUNTY",6,"CA","CALIFORNIA","019","FRESNO",27090,"06019","CORN, SILAGE",26513,97.87
"75","CROPS","CORN, SILAGE - ACRES HARVESTED","CORN","COUNTY",32,"NV","NEVADA","019","LYON",2390,"32019","CORN, SILAGE",2390,100
"76","CROPS","CORN, SILAGE - ACRES HARVESTED","CORN","COUNTY",49,"UT","UTAH","019","GRAND",350,"49019","CORN, SILAGE",350,100
"77","CROPS","CORN, SILAGE - ACRES HARVESTED","CORN","COUNTY",6,"CA","CALIFORNIA","021","GLENN",4908,"06021","CORN, SILAGE",4636,94.46
"78","CROPS","CORN, SILAGE - ACRES HARVESTED","CORN","COUNTY",35,"NM","NEW MEXICO","025","LEA",10552,"35025","CORN, SILAGE",8408,79.68
"79","CROPS","CORN, SILAGE - ACRES HARVESTED","CORN","COUNTY",49,"UT","UTAH","029","MORGAN",392,"49029","CORN, SILAGE",392,100
"80","CROPS","CORN, SILAGE - ACRES HARVESTED","CORN","COUNTY",6,"CA","CALIFORNIA","031","KINGS",38905,"06031","CORN, SILAGE",38105,97.94
"81","CROPS","CORN, SILAGE - ACRES HARVESTED","CORN","COUNTY",8,"CO","COLORADO","029","DELTA",2315,"08029","CORN, SILAGE",2235,96.54
"82","CROPS","CORN, SILAGE - ACRES HARVESTED","CORN","COUNTY",49,"UT","UTAH","031","PIUTE",68,"49031","CORN, SILAGE",68,100
"83","CROPS","CORN, SILAGE - ACRES HARVESTED","CORN","COUNTY",6,"CA","CALIFORNIA","039","MADERA",17957,"06039","CORN, SILAGE",17741,98.8
"84","CROPS","CORN, SILAGE - ACRES HARVESTED","CORN","COUNTY",49,"UT","UTAH","039","SANPETE",2596,"49039","CORN, SILAGE",2596,100
"85","CROPS","CORN, SILAGE - ACRES HARVESTED","CORN","COUNTY",35,"NM","NEW MEXICO","041","ROOSEVELT",12413,"35041","CORN, SILAGE",7673,61.81
"86","CROPS","CORN, SILAGE - ACRES HARVESTED","CORN","COUNTY",6,"CA","CALIFORNIA","047","MERCED",83030,"06047","CORN, SILAGE",81518,98.18
"87","CROPS","CORN, SILAGE - ACRES HARVESTED","CORN","COUNTY",35,"NM","NEW MEXICO","051","SIERRA",1377,"35051","CORN, SILAGE",1097,79.67
"88","CROPS","CORN, SILAGE - ACRES HARVESTED","CORN","COUNTY",49,"UT","UTAH","055","WAYNE",153,"49055","CORN, SILAGE",153,100
"89","CROPS","CORN, SILAGE - ACRES HARVESTED","CORN","COUNTY",35,"NM","NEW MEXICO","053","SOCORRO",2870,"35053","CORN, SILAGE",2070,72.13
"90","CROPS","CORN, SILAGE - ACRES HARVESTED","CORN","COUNTY",35,"NM","NEW MEXICO","057","TORRANCE",2667,"35057","CORN, SILAGE",2647,99.25
